time, settings
2315.600000, 0 0 0 0 
2173.400000, 0 0 0 1 
2178.733333, 0 0 0 2 
2341.400000, 0 0 1 0 
2329.933333, 0 0 1 1 
2337.400000, 0 0 1 2 
2333.666667, 0 0 2 0 
2335.600000, 0 0 2 1 
2334.933333, 0 0 2 2 
2177.066667, 0 1 0 0 
2176.600000, 0 1 0 1 
2180.133333, 0 1 0 2 
2345.200000, 0 1 1 0 
2343.133333, 0 1 1 1 
2345.600000, 0 1 1 2 
2340.466667, 0 1 2 0 
2339.066667, 0 1 2 1 
2339.533333, 0 1 2 2 
2179.600000, 0 2 0 0 
2175.333333, 0 2 0 1 
2174.866667, 0 2 0 2 
2334.733333, 0 2 1 0 
2335.400000, 0 2 1 1 
2333.333333, 0 2 1 2 
2343.933333, 0 2 2 0 
2335.000000, 0 2 2 1 
2336.266667, 0 2 2 2 
2148.400000, 1 0 0 0 
2150.133333, 1 0 0 1 
2149.466667, 1 0 0 2 
2309.266667, 1 0 1 0 
2316.000000, 1 0 1 1 
2298.000000, 1 0 1 2 
2310.333333, 1 0 2 0 
2304.533333, 1 0 2 1 
2318.733333, 1 0 2 2 
2148.066667, 1 1 0 0 
2150.133333, 1 1 0 1 
2151.600000, 1 1 0 2 
2309.666667, 1 1 1 0 
2310.866667, 1 1 1 1 
2306.000000, 1 1 1 2 
2316.200000, 1 1 2 0 
2314.800000, 1 1 2 1 
2303.466667, 1 1 2 2 
2149.466667, 1 2 0 0 
2149.866667, 1 2 0 1 
2152.600000, 1 2 0 2 
2290.333333, 1 2 1 0 
2289.866667, 1 2 1 1 
2312.733333, 1 2 1 2 
2294.866667, 1 2 2 0 
2287.600000, 1 2 2 1 
2308.266667, 1 2 2 2 
2170.000000, 2 0 0 0 
2172.333333, 2 0 0 1 
2169.200000, 2 0 0 2 
2333.733333, 2 0 1 0 
2328.200000, 2 0 1 1 
2323.533333, 2 0 1 2 
2336.333333, 2 0 2 0 
2329.066667, 2 0 2 1 
2327.066667, 2 0 2 2 
2174.066667, 2 1 0 0 
2175.600000, 2 1 0 1 
2174.333333, 2 1 0 2 
2335.200000, 2 1 1 0 
2346.666667, 2 1 1 1 
2343.133333, 2 1 1 2 
2335.533333, 2 1 2 0 
2332.600000, 2 1 2 1 
2341.466667, 2 1 2 2 
2170.600000, 2 2 0 0 
2173.400000, 2 2 0 1 
2171.800000, 2 2 0 2 
2331.666667, 2 2 1 0 
2332.066667, 2 2 1 1 
2332.400000, 2 2 1 2 
2346.000000, 2 2 2 0 
2338.666667, 2 2 2 1 
2331.000000, 2 2 2 2 
